batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,gpu_type,tp_degree,num_gpus,total_layers,is_best,status
64,97.92,452002.59,97.92,0.060177,0.61,60.18,4,V100,8,32,80,YES,SUCCESS
64,117.50,452002.59,97.92,0.060177,0.61,60.18,4,V100,8,32,80,YES,SUCCESS
64,146.88,452002.59,97.92,0.060177,0.61,60.18,4,V100,8,32,80,YES,SUCCESS
64,470.02,886634.62,195.84,0.061356,0.31,61.36,8,V100,8,64,80,NO,SUCCESS
64,235.01,886634.62,195.84,0.061356,0.31,61.36,8,V100,8,64,80,NO,SUCCESS
